lon,lat,presence,bio1,bio7,bio12,bio19
89.950228,26.696029,1,24.638500213623047,20.29199981689453,3008.0,32.0
90.040763,26.634128,1,24.66433334350586,20.268001556396484,3087.0,31.0
89.916178,26.680508,1,24.70833396911621,20.387998580932617,3003.0,32.0
89.981288,26.716805,1,24.09083366394043,19.408000946044922,3037.0,37.0
90.130287,26.656388,1,24.59516716003418,20.147998809814453,3199.0,31.0
90.153732,27.012635,1,19.228166580200195,19.796001434326172,2305.0,65.0
89.930737,26.666436,1,24.854000091552734,20.78400230407715,3040.0,30.0
90.591723,26.42203,1,24.49683380126953,19.643999099731445,3208.0,34.0
90.600009,27.017791,1,17.354000091552734,19.34800148010254,1975.0,60.0
90.490477,27.35258,1,13.397000312805176,20.79599952697754,1282.0,42.0
90.771137,27.032045,1,16.958166122436523,18.880001068115234,1801.0,53.0
90.526305,27.204414,1,17.31183433532715,20.14000129699707,1563.0,62.0
90.718771,27.055451,1,17.665666580200195,19.43600082397461,1761.0,59.0
90.619489,27.032975,1,17.354000091552734,19.34800148010254,1975.0,60.0
90.479015,26.845024,1,24.46266746520996,19.74399757385254,3831.0,44.0
90.635467,26.40142,1,24.56683349609375,19.71999740600586,3023.0,33.0
90.640518,26.521451,1,24.703500747680664,20.09200096130371,3230.0,36.0
90.662146,26.475955,1,24.620332717895508,19.73999786376953,3180.0,34.0
90.635337,27.1903,1,20.25066566467285,20.476001739501953,1844.0,69.0
90.570639,26.863002,1,23.723167419433594,18.928001403808594,4103.0,52.0
90.530359,26.866086,1,24.480667114257812,19.64800262451172,3902.0,46.0
90.659893,26.56089,1,24.65049934387207,20.076000213623047,3304.0,36.0
90.632049,26.446735,1,24.471332550048828,19.532001495361328,3175.0,35.0
90.606763,26.408365,1,24.52199935913086,19.527999877929688,3102.0,33.0
90.620197,26.418187,1,24.49683380126953,19.643999099731445,3208.0,34.0
90.648157,26.414382,1,24.56683349609375,19.71999740600586,3023.0,33.0
90.775098,27.064667,1,19.778165817260742,19.919998168945312,2100.0,61.0
90.609015,27.026118,1,17.354000091552734,19.34800148010254,1975.0,60.0
90.628508,27.111557,1,16.813499450683594,19.375999450683594,1626.0,55.0
90.231447,26.834508,1,23.83766746520996,19.304000854492188,3272.0,43.0
90.708831,27.039341,1,15.782333374023438,19.020000457763672,1734.0,51.0
90.701316,26.526966,1,24.651166915893555,20.06399917602539,3180.0,36.0
90.690433,27.039791,1,13.825333595275879,18.992000579833984,1815.0,48.0
90.680854,27.097158,1,18.346500396728516,19.703998565673828,1765.0,61.0
90.680295,27.161141,1,21.415000915527344,20.687999725341797,2180.0,64.0
90.795933,27.118771,1,17.051166534423828,19.928001403808594,1541.0,53.0
90.651557,27.011895,1,15.35633373260498,19.22800064086914,1777.0,50.0
90.78809,27.070601,1,19.778165817260742,19.919998168945312,2100.0,61.0
90.66361,27.010096,1,15.35633373260498,19.22800064086914,1777.0,50.0
90.670851,27.010872,1,13.825333595275879,18.992000579833984,1815.0,48.0
89.925865,26.629614,1,24.854000091552734,20.78400230407715,3040.0,30.0
90.435916,26.980344,1,18.666000366210938,18.363998413085938,2591.0,69.0
90.639651,27.110956,1,16.813499450683594,19.375999450683594,1626.0,55.0
90.29335,26.964767,1,16.317167282104492,18.61600112915039,2106.0,59.0
90.576664,26.984715,1,18.30933380126953,18.595998764038086,2405.0,66.0
90.561209,26.863704,1,23.723167419433594,18.928001403808594,4103.0,52.0
90.20091,26.839015,1,22.668167114257812,18.73200035095215,3301.0,53.0
90.692528,27.153448,1,21.415000915527344,20.687999725341797,2180.0,64.0
90.736048,27.046957,1,17.665666580200195,19.43600082397461,1761.0,59.0
90.30604,26.694062,1,24.419166564941406,19.843997955322266,3455.0,35.0
90.562866,27.361071,1,18.017000198364258,21.559999465942383,1263.0,69.0
90.738774,27.076828,1,17.665666580200195,19.43600082397461,1761.0,59.0
90.30876,26.938509,1,19.825666427612305,18.26799964904785,3052.0,69.0
90.665174,27.146546,1,20.07433319091797,20.139999389648438,1989.0,69.0
90.455758,26.81402,1,24.379667282104492,19.715999603271484,3757.0,42.0
90.468402,26.818148,1,24.5989990234375,20.031999588012695,3770.0,43.0
90.740185,27.13989,1,20.316667556762695,20.527999877929688,1867.0,64.0
90.798718,27.074513,1,19.427165985107422,19.959999084472656,2026.0,59.0
90.759818,27.041938,1,19.778165817260742,19.919998168945312,2100.0,61.0
90.754384,27.069942,1,19.778165817260742,19.919998168945312,2100.0,61.0
90.583649,27.325895,1,17.76099967956543,20.687999725341797,1326.0,61.0
90.5326,27.18926,1,17.31183433532715,20.14000129699707,1563.0,62.0
90.645905,27.221968,1,17.86116600036621,20.100000381469727,1429.0,58.0
90.535236,26.500999,1,24.76650047302246,20.183998107910156,3330.0,34.0
90.45109,27.034025,1,19.562833786010742,18.964000701904297,2737.0,71.0
90.588145,27.245936,1,19.088499069213867,20.467998504638672,1614.0,69.0
90.272821,26.409714,1,24.79433250427246,20.059999465942383,3115.0,27.0
90.496455,27.390807,1,15.650166511535645,21.31999969482422,1210.0,50.0
90.733432,27.124984,1,20.320667266845703,20.236000061035156,2084.0,62.0
90.793214,27.050116,1,19.427165985107422,19.959999084472656,2026.0,59.0
90.664554,27.109141,1,16.813499450683594,19.375999450683594,1626.0,55.0
90.79982,27.034784,1,20.26849937438965,19.711997985839844,2282.0,60.0
90.479967,27.327042,1,10.023833274841309,21.45599937438965,1327.0,36.0
90.533304,27.351804,1,16.057666778564453,21.020000457763672,1259.0,56.0
90.649353,26.408905,1,24.56683349609375,19.71999740600586,3023.0,33.0
90.633934,26.26202,1,24.53849983215332,19.464000701904297,2868.0,31.0
90.617462,27.275991,1,18.534666061401367,20.56800079345703,1434.0,67.0
90.45874,27.080504,1,16.417999267578125,19.220001220703125,1766.0,55.0
90.596008,27.319315,1,17.76099967956543,20.687999725341797,1326.0,61.0
90.70536,27.126675,1,21.415000915527344,20.687999725341797,2180.0,64.0
90.611465,26.558609,1,24.762666702270508,20.1200008392334,3341.0,36.0
90.637764,27.069712,1,14.620333671569824,19.01599884033203,1720.0,49.0
