lon,lat,presence,bio1,bio2,bio3,bio4,bio12,bio14,bio15
91.189951,27.209268,1,20.99850082397461,9.862333297729492,45.65895080566406,445.9252014160156,1236.0,6.0,84.16819763183594
91.123362,26.686994,1,24.253000259399414,9.883334159851074,47.89365005493164,377.4103088378906,2887.0,8.0,98.3755111694336
91.298021,26.65062,1,23.991498947143555,9.736332893371582,47.34649658203125,381.3485412597656,2716.0,8.0,97.20228576660156
96.408758,27.500711,1,21.13133430480957,9.064666748046875,41.3232421875,462.4447326660156,3058.0,17.0,96.28191375732422
96.455675,27.431317,1,18.850500106811523,8.487667083740234,39.59538269042969,470.7615051269531,2973.0,16.0,95.99559020996094
93.320547,26.642561,1,24.097000122070312,9.992666244506836,44.364532470703125,449.2112121582031,2213.0,11.0,85.00826263427734
94.229353,26.715652,1,23.902332305908203,10.183333396911621,45.106903076171875,445.112060546875,2297.0,14.0,78.81582641601562
91.142396,26.776502,1,23.98200035095215,9.572000503540039,47.264469146728516,375.88629150390625,3001.0,9.0,98.9224624633789
95.428596,27.230164,1,22.886167526245117,9.08566665649414,41.784706115722656,447.0338439941406,2464.0,20.0,77.22110748291016
94.205975,26.706491,1,23.937665939331055,10.186667442321777,45.025936126708984,445.6426086425781,2231.0,14.0,78.51982879638672
94.243505,26.756276,1,23.89383316040039,10.105667114257812,44.77081298828125,445.79193115234375,2358.0,15.0,79.24671936035156
90.919783,26.727156,1,24.224332809448242,9.626667022705078,48.14295959472656,361.18572998046875,3155.0,9.0,100.17349243164062
95.464709,27.283971,1,22.865999221801758,9.038000106811523,41.59609603881836,448.89727783203125,2478.0,20.0,77.0474853515625
90.905033,26.763564,1,23.825000762939453,9.157333374023438,47.115318298339844,363.0129699707031,3444.0,9.0,101.18047332763672
90.905818,26.712623,1,24.195667266845703,9.65999984741211,48.30000305175781,361.25445556640625,3258.0,9.0,100.61040496826172
91.526147,27.31322,1,19.898500442504883,10.290332794189453,46.294464111328125,465.1547546386719,1067.0,4.0,83.89708709716797
91.563596,26.875001,1,18.293333053588867,8.157333374023438,42.3273811340332,423.3833923339844,2349.0,9.0,97.20965576171875
91.503432,24.190632,1,24.941333770751953,10.63599967956543,46.219364166259766,395.3569030761719,2169.0,5.0,82.17475891113281
91.569279,24.19129,1,24.88016700744629,10.670999526977539,46.27492904663086,396.8688049316406,2155.0,5.0,81.91493225097656
92.814579,26.840172,1,24.40450096130371,9.929666519165039,46.21888732910156,419.5427551269531,2202.0,8.0,90.18621063232422
91.554709,24.099121,1,24.881500244140625,10.659000396728516,46.23894119262695,393.7520751953125,2069.0,4.0,81.82257080078125
91.599145,24.190742,1,24.695999145507812,10.594666481018066,45.98379898071289,399.7990417480469,2175.0,5.0,81.7329330444336
93.300828,26.602853,1,24.091167449951172,10.011666297912598,44.52003860473633,448.22021484375,2143.0,11.0,84.51620483398438
93.14911,26.4974,1,23.49883270263672,9.536334037780762,44.02739334106445,440.8987731933594,1967.0,10.0,86.1496810913086
95.569354,27.292175,1,22.88133430480957,9.140000343322754,41.65147399902344,452.8246765136719,2499.0,20.0,78.1568603515625
94.251,26.750011,1,23.831666946411133,10.109333038330078,44.8267707824707,445.58123779296875,2350.0,15.0,78.9795913696289
94.22117,26.692516,1,23.905000686645508,10.197999954223633,45.05213165283203,445.33221435546875,2232.0,14.0,78.45917510986328
91.518699,26.939526,1,18.33049964904785,8.4350004196167,42.70453643798828,433.5400695800781,2233.0,8.0,97.35449981689453
91.116079,27.290822,1,17.640499114990234,8.782999992370605,42.17729568481445,452.779541015625,1028.0,7.0,79.43096923828125
91.137053,27.336677,1,14.343000411987305,8.159333229064941,40.94406509399414,437.85205078125,1283.0,7.0,85.91448211669922
91.114512,27.314646,1,16.497833251953125,8.593000411987305,41.908897399902344,447.1540832519531,1069.0,7.0,81.49506378173828
91.15305,27.3708,1,14.343000411987305,8.159333229064941,40.94406509399414,437.85205078125,1283.0,7.0,85.91448211669922
91.637792,22.672658,1,25.327499389648438,8.988333702087402,45.99024200439453,320.42987060546875,2971.0,5.0,102.22816467285156
95.409328,27.260774,1,23.216999053955078,9.362667083740234,42.56531524658203,443.86419677734375,2463.0,20.0,75.91588592529297
91.185418,27.395884,1,18.9635009765625,9.882332801818848,45.340126037597656,456.0992736816406,843.0,6.0,74.74769592285156
95.794805,27.560954,1,22.966833114624023,9.608333587646484,41.891929626464844,463.0079650878906,2629.0,20.0,80.85860443115234
94.294869,26.699616,1,23.716833114624023,10.165666580200195,44.98878479003906,445.4407653808594,2228.0,14.0,78.23307800292969
94.337646,26.711227,1,23.670499801635742,10.08899974822998,44.77632141113281,447.15576171875,2279.0,14.0,78.40543365478516
94.278504,26.698612,1,23.828832626342773,10.23033332824707,45.15507507324219,445.1363220214844,2232.0,14.0,78.35307312011719
94.337135,26.602715,1,23.40216636657715,9.815000534057617,44.5084342956543,442.52886962890625,2129.0,13.0,78.05107116699219
90.924722,26.715409,1,24.224332809448242,9.626667022705078,48.14295959472656,361.18572998046875,3155.0,9.0,100.17349243164062
93.880162,26.257635,1,24.065500259399414,10.550333023071289,46.08742141723633,446.0038757324219,1763.0,11.0,76.79955291748047
91.792094,24.348081,1,24.500999450683594,10.423333168029785,46.38364791870117,399.29534912109375,2562.0,7.0,82.93140411376953
91.786396,24.286286,1,24.520666122436523,10.691999435424805,46.47079086303711,398.51220703125,2413.0,7.0,82.26090240478516
91.769054,24.378451,1,24.62933349609375,10.475333213806152,46.499168395996094,398.2378234863281,2626.0,8.0,83.34455108642578
93.523392,26.597445,1,23.7016658782959,9.826665878295898,44.52096176147461,441.41339111328125,2127.0,11.0,81.99720001220703
91.191429,26.623913,1,24.1838321685791,9.726333618164062,47.39004898071289,378.389404296875,2667.0,8.0,96.7152099609375
91.180616,26.626248,1,24.201000213623047,9.781999588012695,47.71707534790039,376.75396728515625,2759.0,8.0,97.44701385498047
93.189135,26.4503,1,21.09516716003418,9.010333061218262,43.28561019897461,431.7519226074219,2074.0,7.0,89.98312377929688
91.20871,27.005732,1,20.96066665649414,9.089333534240723,45.08597946166992,418.30084228515625,2246.0,7.0,95.09855651855469
94.391127,26.70542,1,23.702167510986328,10.086333274841309,44.74065399169922,445.76849365234375,2227.0,14.0,78.17324829101562
