lon,lat,presence
91.189951,27.209268,1
91.123362,26.686994,1
91.298021,26.65062,1
96.408758,27.500711,1
96.455675,27.431317,1
93.320547,26.642561,1
94.229353,26.715652,1
91.142396,26.776502,1
95.428596,27.230164,1
94.205975,26.706491,1
94.243505,26.756276,1
90.919783,26.727156,1
95.464709,27.283971,1
90.905033,26.763564,1
90.905818,26.712623,1
91.526147,27.31322,1
91.563596,26.875001,1
91.503432,24.190632,1
91.569279,24.19129,1
92.814579,26.840172,1
91.554709,24.099121,1
91.599145,24.190742,1
93.300828,26.602853,1
93.14911,26.4974,1
95.569354,27.292175,1
94.251,26.750011,1
94.22117,26.692516,1
91.518699,26.939526,1
91.116079,27.290822,1
91.137053,27.336677,1
91.114512,27.314646,1
91.15305,27.3708,1
91.637792,22.672658,1
95.409328,27.260774,1
91.185418,27.395884,1
95.794805,27.560954,1
94.294869,26.699616,1
94.337646,26.711227,1
94.278504,26.698612,1
94.337135,26.602715,1
90.924722,26.715409,1
93.880162,26.257635,1
91.792094,24.348081,1
91.786396,24.286286,1
91.769054,24.378451,1
93.523392,26.597445,1
91.191429,26.623913,1
91.180616,26.626248,1
90.898464,26.905326,1
93.189135,26.4503,1
91.20871,27.005732,1
94.391127,26.70542,1
91.320172,26.898524,1
91.373447,26.990972,1
91.364846,26.815745,1
91.284243,26.833273,1
91.278949,26.963398,1
95.480132,27.338848,1
91.349719,26.823578,1
93.241293,26.500159,1
92.823326,26.82027,1
90.947397,26.751758,1
90.912048,26.725005,1
91.382219,26.600565,1
91.0872,26.7742,1
91.193759,27.331438,1
91.187054,27.29854,1
91.191135,27.241453,1
91.156279,27.337858,1
91.442809,27.294688,1
91.624616,26.173753,1
93.078794,26.411681,1
95.230699,27.574645,1
95.431871,27.349563,1
95.592935,27.322387,1
95.551909,27.202904,1
95.417592,27.293632,1
95.481263,27.216679,1
95.565252,27.295179,1
90.957711,26.665179,1
92.810202,26.920823,1
92.222189,27.003925,1
90.89025,26.787589,1
90.944053,26.90335,1
90.870766,26.980036,1
91.212969,26.950871,1
91.115476,27.371628,1
91.090049,27.210631,1
93.127358,26.523725,1
90.985707,26.942727,1
91.071072,27.383188,1
91.564568,27.20778,1
94.300933,26.767963,1
90.925377,26.751452,1
93.195006,26.531302,1
91.962488,24.972901,1
93.16243,26.492657,1
91.7085,24.236051,1
91.282719,26.845651,1
93.567361,26.600689,1
93.436153,26.606835,1
93.539055,26.727188,1
93.587494,26.634277,1
93.526979,26.602043,1
93.119335,26.539862,1
91.321359,26.887264,1
91.263614,26.919684,1
91.152905,27.279049,1
91.324365,27.399482,1
91.496611,24.03167,1
91.042077,26.77276,1
95.730065,27.373629,1
91.705308,24.300822,1
95.706599,27.364048,1
95.688844,27.307717,1
95.716046,27.213232,1
95.769862,27.269044,1
95.600249,27.256736,1
95.706361,27.397964,1
95.716552,27.244322,1
91.231307,26.901235,1
91.13493,26.765868,1
95.652697,27.270556,1
95.723081,27.388744,1
95.727595,27.248409,1
95.644796,27.388373,1
95.644067,27.206141,1
95.605539,27.204614,1
95.428326,27.217594,1
95.402748,27.252851,1
91.678667,24.24222,1
95.426418,27.263381,1
95.476019,27.392529,1
95.435745,27.215097,1
91.66359,24.245101,1
91.832142,24.991941,1
91.219598,23.265157,1
92.112086,21.52946,1
91.426956,24.175046,1
91.418126,24.12497,1
91.571031,24.186975,1
91.104566,27.295222,1
91.272547,26.880231,1
91.792379,24.069956,1
91.411992,24.143858,1
91.722675,24.275085,1
92.201274,22.119017,1
91.26187,26.998494,1
91.72,24.32,1
91.098618,26.687708,1
94.35361,26.662599,1
95.42687,27.361018,1
91.492724,23.491025,1
89.890892,24.33917,1
91.479047,24.040856,1
90.92893,26.762985,1
91.58121,24.093501,1
91.434464,24.104962,1
91.126768,27.245137,1
91.794261,24.383341,1
91.049646,26.710756,1
91.161671,26.731131,1
91.010109,26.707759,1
91.070421,26.637664,1
91.434957,24.104487,1
91.409101,24.013499,1
91.503507,24.173326,1
94.357213,26.725366,1
94.240849,26.799871,1
94.205738,26.678856,1
94.323834,26.730561,1
91.168563,26.721805,1
91.40102,24.106432,1
95.540788,27.201567,1
95.542026,27.373216,1
95.518643,27.287518,1
91.75494,24.089931,1
91.621943,24.071987,1
91.461933,24.122404,1
90.951266,26.707978,1
91.432189,24.054198,1
95.548126,27.22997,1
95.548797,27.261538,1
95.542894,27.348309,1
94.315786,26.720449,1
91.582074,24.236548,1
91.4193,24.160933,1
92.727961,26.15519,1
91.639489,24.246044,1
91.559491,26.918646,1
91.405251,26.817758,1
91.382876,27.206169,1
91.191124,27.262927,1
91.592699,27.020581,1
91.510442,27.192566,1
94.279454,26.777245,1
94.351769,26.780294,1
91.690938,27.102485,1
91.608337,27.156998,1
91.000605,26.658644,1
90.957592,26.781984,1
90.9576,26.782,1
91.001131,26.659423,1
91.169321,26.892207,1
91.001129,26.659422,1
91.471012,27.24679,1
94.375827,26.7309,1
91.560558,27.416703,1
91.352617,27.183048,1
92.073119,26.897619,1
91.85038,27.039332,1
93.724456,25.988622,1
90.981788,26.79088,1
94.32826,26.651571,1
92.711811,24.69355,1
94.384746,26.69297,1
92.246253,24.259821,1
92.355093,24.291074,1
91.286778,23.831457,1
94.203158,26.783577,1
94.305926,26.659209,1
95.449975,27.36126,1
93.111057,26.450015,1
91.526109,26.967981,1
91.790904,26.675775,1
91.273339,26.806716,1
94.270305,26.689064,1
91.151194,27.212744,1
91.110825,27.341492,1
90.140633,24.643719,1
90.943848,27.311466,1
94.3411,26.689423,1
94.341103,26.689423,1
93.598429,26.369984,1
94.202583,26.746521,1
94.242797,26.645523,1
94.251704,26.68596,1
94.250418,26.648235,1
91.176102,27.664921,1
91.020325,26.745993,1
91.540288,26.830914,1
91.681787,24.201895,1
95.409541,27.29432,1
95.414673,27.271062,1
95.57792,27.399202,1
93.623855,25.965494,1
94.357704,26.785929,1
96.573542,27.435225,1
95.55128,27.207378,1
91.201792,26.957391,1
94.345652,26.610947,1
94.360624,26.708699,1
94.220336,26.647741,1
91.484672,26.921208,1
91.481817,26.941839,1
91.138344,27.318687,1
91.113488,27.311541,1
91.148574,26.782673,1
94.347208,26.632312,1
91.122929,26.735708,1
91.125845,26.673981,1
94.335136,26.683048,1
91.526393,26.889275,1
91.597795,26.929608,1
91.437926,26.895036,1
91.183379,26.691907,1
93.443343,26.58244,1
91.436147,26.911234,1
92.41245,23.68497,1
92.3695,23.68348,1
92.04835,22.501927,1
92.109904,22.556228,1
92.168723,22.528727,1
92.033939,22.577879,1
92.040915,22.517343,1
92.184997,22.595917,1
92.133406,22.567212,1
92.101773,22.417685,1
92.017808,22.447395,1
90.971863,26.778334,1
91.794186,24.342248,1
95.446654,27.248923,1
95.324837,27.269636,1
91.208952,27.61977,1
94.261854,26.743296,1
95.79753,27.389142,1
91.094561,26.680568,1
90.896209,26.697639,1
95.441845,27.359258,1
95.434225,27.238731,1
91.449939,26.842763,1
91.166109,26.771122,1
92.744725,26.933981,1
93.30611,26.599703,1
90.02469,24.651731,1
90.004214,24.723161,1
96.572643,27.57148,1
91.785278,24.151085,1
91.605958,24.076183,1
91.627451,24.038054,1
93.134164,26.410334,1
91.28257,26.801773,1
91.218761,26.870825,1
91.277546,26.93107,1
91.496014,27.13724,1
91.075372,26.687352,1
96.47296,27.59858,1
91.503599,24.129531,1
91.71372,23.585084,1
91.660527,24.303967,1
91.140982,27.205899,1
96.482797,27.542622,1
91.614483,24.255935,1
94.338082,26.684437,1
93.1816,26.542358,1
94.116669,27.23333,1
94.916664,24.866667,1
91.85,24.8833,1
95.5,27.5333,1
92.422615,23.503541,1
95.44971028600833,26.30847110588877,0
90.70133067449794,23.79389535693698,0
94.5700241866805,26.58337163478813,0
93.06642565618388,22.12229351242261,0
93.90032520620602,20.89809888330697,0
97.02162416722518,27.110436616765742,0
90.89767790737775,25.53678031146421,0
92.18438227640014,23.19516578758805,0
93.26251599997764,21.8393771747111,0
90.71489167315931,23.983560584816253,0
91.442405312781,25.437636878144875,0
95.9831878888314,26.44855370395127,0
92.64684655959874,22.579915729963098,0
94.85979381254616,21.466931730848216,0
95.02984237106212,26.268504421826727,0
93.18270423358985,24.680497803182035,0
93.98022161274692,26.150669264962527,0
94.50141330141663,24.56692038365233,0
93.93499800443384,22.69694051145844,0
91.3499569221503,23.48034123171872,0
91.94261044192278,25.37847664172827,0
90.95005260516425,24.173382079619024,0
90.88284535031652,25.636196892167455,0
93.08699419506144,23.27428242065016,0
92.002006484377,25.141506077493613,0
93.11103685812364,22.459411007161915,0
93.1591546980595,21.93595153894249,0
92.035345299969,24.75899157926943,0
95.43005616330592,25.809558592791404,0
92.98150472886653,25.11922961753549,0
94.12170596441356,25.28806059498919,0
90.37376364590928,23.53486660853553,0
90.05249125611188,24.12054070507589,0
92.2146555442824,21.502676704268275,0
90.5159739833009,24.822103506877067,0
94.0989264635138,23.01845319602344,0
94.17284475116396,20.59086650400525,0
93.39080337885798,24.09594148381356,0
93.29202217424476,22.41996401686375,0
95.93842236052518,27.133206721185623,0
90.79235971133238,24.570341856954776,0
90.55477537395346,25.455810846701244,0
91.84989728042456,25.359794918787024,0
95.19358522869452,26.17800128491413,0
93.90233311329943,23.19863097063301,0
95.9646597825451,26.474675773698134,0
91.92253815294016,24.27834900421337,0
96.42224631441934,27.11287508374136,0
93.63233839804388,22.7866751788374,0
95.57171638511804,27.70002018794986,0
93.49644001299458,21.49798218009718,0
90.72914907058322,25.496401580649973,0
90.65421542632497,24.212973330349342,0
91.23887325980418,26.443760710230787,0
95.10666657142592,25.955791292231783,0
91.9977803952789,24.08003841528752,0
89.92681303127866,24.579045672268432,0
94.49583843585816,21.21332240995197,0
90.7930386196314,23.559638814511224,0
93.24620707747272,26.29872635814624,0
95.9619509304124,26.389020495167838,0
91.48539695338629,24.396051478218084,0
94.26429542024913,23.51062689659415,0
92.54712467564993,23.61033634098385,0
94.63052719449936,26.91843792465778,0
93.14505710886196,22.27661497200787,0
90.23960333625726,24.87296077591852,0
90.1407621639036,24.848316438031617,0
92.12561685126116,24.19946180522176,0
96.30382263847557,26.795892175299077,0
94.02520218248938,23.53827520215198,0
93.66905309995768,21.181669068570397,0
96.0680637432826,27.18184125647795,0
93.76142956271568,24.272099547121567,0
92.62892735603336,25.21102788883928,0
93.324935963334,23.54297164834756,0
