lon,lat,presence,bio1,bio3,bio5,bio6,bio8,bio9,bio12,bio16,bio17,bio18,bio19
86.332606,20.834102,1,26.778667449951172,43.42550277709961,36.29999923706055,14.600000381469727,28.566665649414062,21.775333404541016,1604.0,955.0,52.0,350.0,52.0
87.673835,23.678942,1,26.274166107177734,43.065887451171875,37.80799865722656,11.460000038146973,29.41266632080078,20.341333389282227,1339.0,855.0,31.0,337.0,34.0
83.36886,19.688794,1,24.617834091186523,41.84333801269531,35.99599838256836,12.600000381469727,25.286666870117188,20.099332809448242,1373.0,882.0,34.0,329.0,40.0
85.811982,22.525189,1,26.05033302307129,42.02449035644531,39.00400161743164,11.895999908447266,27.786666870117188,20.101333618164062,1298.0,888.0,25.0,266.0,34.0
87.381073,24.311671,1,25.856332778930664,43.146671295166016,38.10799789428711,10.608000755310059,28.516000747680664,19.80466651916504,1362.0,887.0,31.0,305.0,31.0
85.086163,19.607375,1,26.691165924072266,44.3026237487793,33.944000244140625,16.31599998474121,28.304000854492188,22.57866668701172,1355.0,742.0,43.0,257.0,43.0
80.586428,22.299428,1,23.677833557128906,40.59699630737305,38.90800094604492,9.14799976348877,25.055999755859375,17.519332885742188,1452.0,1172.0,35.0,159.0,35.0
80.645642,22.172616,1,24.164833068847656,40.49378204345703,39.37200164794922,9.871999740600586,25.373332977294922,18.11400032043457,1450.0,1168.0,36.0,161.0,36.0
80.567772,22.111009,1,24.596166610717773,41.49798583984375,40.448001861572266,9.619999885559082,25.672000885009766,18.54400062561035,1483.0,1199.0,36.0,165.0,36.0
80.595323,22.205559,1,24.254833221435547,40.557491302490234,39.608001708984375,9.795999526977539,25.481332778930664,18.15133285522461,1462.0,1180.0,36.0,163.0,36.0
82.239712,16.970905,1,28.079334259033203,48.979278564453125,36.928001403808594,19.6200008392334,28.493999481201172,26.136667251586914,1049.0,589.0,19.0,174.0,21.0
80.005255,21.184653,1,26.330833435058594,39.66414260864258,41.672000885009766,12.592000007629395,26.786666870117188,20.50933265686035,1436.0,1149.0,23.0,180.0,23.0
85.418053,24.998339,1,25.835500717163086,39.46519088745117,39.59600067138672,10.039999961853027,28.81133270263672,25.483333587646484,978.0,702.0,23.0,172.0,29.0
87.311553,23.665153,1,26.302165985107422,42.929779052734375,38.384002685546875,11.4399995803833,28.67133331298828,20.21933364868164,1300.0,825.0,29.0,310.0,35.0
80.002883,21.189603,1,26.330833435058594,39.66414260864258,41.672000885009766,12.592000007629395,26.786666870117188,20.50933265686035,1436.0,1149.0,23.0,180.0,23.0
80.623992,22.197753,1,24.254833221435547,40.557491302490234,39.608001708984375,9.795999526977539,25.481332778930664,18.15133285522461,1462.0,1180.0,36.0,163.0,36.0
80.586428,22.299496,1,23.677833557128906,40.59699630737305,38.90800094604492,9.14799976348877,25.055999755859375,17.519332885742188,1452.0,1172.0,35.0,159.0,35.0
80.626845,22.271203,1,23.621665954589844,40.76829528808594,38.74399948120117,9.17199993133545,24.929332733154297,17.544666290283203,1443.0,1165.0,35.0,156.0,35.0
80.605027,22.235717,1,23.905834197998047,40.335018157958984,38.97999954223633,9.668000221252441,25.166000366210938,17.841333389282227,1457.0,1177.0,36.0,159.0,36.0
86.757562,23.643824,1,25.864500045776367,40.41535568237305,38.51599884033203,11.823999404907227,28.04199981689453,19.749332427978516,1228.0,827.0,25.0,249.0,32.0
87.662022,23.676391,1,26.2276668548584,43.21522903442383,37.64799880981445,11.343999862670898,29.404666900634766,20.29599952697754,1329.0,844.0,31.0,334.0,34.0
80.429697,22.35111,1,24.7016658782959,40.908119201660156,40.788002014160156,9.588000297546387,26.022666931152344,18.35466766357422,1459.0,1175.0,35.0,170.0,35.0
80.63559,22.205097,1,24.164833068847656,40.49378204345703,39.37200164794922,9.871999740600586,25.373332977294922,18.11400032043457,1450.0,1168.0,36.0,161.0,36.0
80.48999,22.306522,1,24.624834060668945,40.76579666137695,40.54399871826172,9.64799976348877,25.95400047302246,18.29866600036621,1466.0,1181.0,36.0,168.0,36.0
83.168614,19.907854,1,26.672000885009766,41.85768127441406,39.68000030517578,13.503999710083008,27.170000076293945,21.933334350585938,1398.0,957.0,29.0,303.0,31.0
80.593852,22.328973,1,23.677833557128906,40.59699630737305,38.90800094604492,9.14799976348877,25.055999755859375,17.519332885742188,1452.0,1172.0,35.0,159.0,35.0
80.588489,22.334479,1,23.888334274291992,40.572635650634766,39.428001403808594,9.112000465393066,25.288667678833008,17.632667541503906,1451.0,1169.0,35.0,161.0,35.0
88.280692,24.177105,1,25.92566680908203,42.158241271972656,36.8120002746582,11.248000144958496,29.285999298095703,20.086000442504883,1381.0,835.0,32.0,377.0,32.0
82.030109,22.194074,1,26.676332473754883,40.466270446777344,42.20800018310547,12.4399995803833,27.522666931152344,20.728666305541992,1249.0,953.0,24.0,188.0,24.0
82.769528,21.335722,1,26.739665985107422,40.56895446777344,42.02399826049805,12.65999984741211,27.15399932861328,21.062667846679688,1331.0,1004.0,17.0,222.0,17.0
83.448753,18.148483,1,27.452667236328125,46.31529235839844,35.875999450683594,17.54800033569336,28.144001007080078,23.607999801635742,1110.0,611.0,23.0,238.0,73.0
